City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
294,Faanui,16,PF,1665538944,77,-16.4833,-151.75,77.99,16.44
295,Vostok,6,RU,1665538944,60,46.4856,135.8833,41.77,9.26
296,Grand Haven,100,US,1665538944,84,43.0631,-86.2284,61.03,4.0
297,Izumo,75,JP,1665538945,77,35.3667,132.7667,62.55,2.3
298,Puerto Escondido,100,MX,1665538945,86,15.85,-97.0667,77.7,1.77
299,Carquefou,0,FR,1665538757,92,47.2982,-1.4902,50.07,1.14
300,Broome,0,US,1665538945,87,42.2506,-75.833,55.62,1.01
301,Sucre,0,BO,1665538945,43,-19.0333,-65.2627,55.74,4.68
302,Colesberg,100,ZA,1665538945,19,-30.72,25.0972,70.45,7.14
303,Champerico,100,GT,1665538946,88,14.3,-91.9167,78.01,8.7
304,Havelock,20,US,1665538946,90,34.8791,-76.9013,64.38,0.0
305,Nānākuli,20,US,1665538946,74,21.3906,-158.1547,84.15,6.91
306,North Bend,0,US,1665538946,91,43.4065,-124.2243,65.25,17.27
307,Victoria Point,43,AU,1665538946,60,-27.5833,153.3,77.14,11.99
308,Kigoma,93,TZ,1665538946,55,-4.8769,29.6267,77.76,6.71
309,Nerl',78,RU,1665538946,76,56.6628,40.3893,34.92,3.24
310,Eureka,54,US,1665538947,85,40.8021,-124.1637,58.19,3.0
311,Nagato,22,JP,1665538947,57,34.3833,131.2,67.12,14.81
312,Souillac,20,MU,1665538947,78,-20.5167,57.5167,70.18,6.91
313,Paamiut,69,GL,1665538947,62,61.994,-49.6678,29.7,9.04
314,Gornozavodsk,96,RU,1665538947,77,58.3758,58.3211,34.34,2.39
315,Toktogul,0,KG,1665538947,12,41.8708,72.9402,53.82,0.87
316,San Policarpo,100,PH,1665538948,62,12.1791,125.5072,87.62,4.18
317,Half Moon Bay,100,US,1665538948,81,37.4636,-122.4286,69.55,18.41
318,Quatre Cocos,88,MU,1665538948,62,-20.2078,57.7625,69.91,14.43
319,Codajás,84,BR,1665538953,70,-3.8367,-62.0569,78.33,2.15
320,Nayoro,73,JP,1665538953,64,44.3506,142.4578,55.9,13.33
321,Shingū,100,JP,1665538953,56,33.7333,135.9833,70.32,5.19
322,Mergen,93,CN,1665538954,35,49.1833,125.2167,52.79,13.0
323,Havøysund,78,NO,1665538954,88,70.9963,24.6622,46.63,33.8
324,Longyearbyen,75,SJ,1665538771,75,78.2186,15.6401,35.44,20.71
325,Basavana Bāgevādi,100,IN,1665538954,88,16.5833,75.9667,72.97,2.55
326,Aquiraz,100,BR,1665538954,76,-3.9014,-38.3911,80.69,14.45
327,Pochutla,100,MX,1665538954,96,15.7432,-96.4661,76.82,3.04
328,Hambantota,20,LK,1665538954,100,6.1241,81.1185,77.34,3.44
329,Itoman,40,JP,1665538955,61,26.1247,127.6694,80.62,23.02
330,Anking,0,CN,1665538781,45,30.5092,117.0506,62.73,6.67
331,Menongue,14,AO,1665538955,27,-14.6585,17.691,61.5,5.46
332,Suntar,100,RU,1665538664,96,62.1444,117.6319,36.45,6.64
333,Margate,100,GB,1665538955,76,51.3813,1.3862,53.62,5.73
334,Ust'-Kulom,89,RU,1665538955,89,61.6864,53.6902,39.83,2.8
335,La Cruz,100,MX,1665538955,61,23.9167,-106.9,80.76,10.87
336,Palekastro,8,GR,1665538956,75,35.2,26.25,68.18,10.27
337,Kirakira,28,SB,1665538956,72,-10.4544,161.9205,83.73,6.49
338,Vila,63,PT,1665538956,92,42.0304,-8.1588,50.88,3.06
339,Calama,0,CL,1665538956,7,-22.4667,-68.9333,52.29,9.22
340,Bustamante,1,MX,1665538956,68,26.5333,-100.5,74.75,8.3
341,Isugod,100,PH,1665538956,73,9.3408,118.1196,84.54,9.51
342,Mnogovershinnyy,100,RU,1665538957,86,53.9353,139.9242,34.65,9.1
343,Bayan,99,CN,1665538957,49,46.0833,127.4,51.48,8.97
344,Akhmīm,0,EG,1665538957,47,26.5622,31.745,70.79,8.37
345,Mbaïki,100,CF,1665538957,99,3.8678,17.9892,68.18,1.01
346,Thunder Bay,75,CA,1665538958,77,48.4001,-89.3168,57.18,6.91
347,Dingle,87,PH,1665538958,73,10.9995,122.6711,85.15,8.97
348,Peringat,20,MY,1665538958,83,6.0333,102.2833,78.75,8.05
349,Laguna,0,US,1665538958,28,38.421,-121.4238,88.43,5.75
350,São Filipe,81,CV,1665538958,78,14.8961,-24.4956,79.3,7.43
351,Oranjemund,100,NA,1665538959,96,-28.55,16.4333,58.42,8.72
352,Acapulco de Juárez,100,MX,1665538959,94,16.8634,-99.8901,78.62,2.3
353,Kiruna,75,SE,1665538959,86,67.8557,20.2251,31.12,8.05
